# TOI-270, TESS 2-minute cadence, TESS Sector 03
# time is days from the first measurement, flux is normalised
time,flux
0.856962,1.0024381
0.858351,0.9991662
0.859740,1.0013340
0.861129,0.9991962
0.862518,0.9994937
0.863907,1.0012836
0.865296,1.0018409
0.866685,1.0011765
0.868074,0.9991276
0.869463,1.0011214
0.870852,0.9995274
0.872240,1.0011562
0.873629,0.9998115
0.875018,1.0035578
0.876407,1.0011182
0.877796,1.0009784
0.879185,0.9999854
0.880574,1.0009576
0.881963,1.0010757
0.883352,0.9999547
0.884741,0.9993234
0.886130,1.0012065
0.887519,1.0005368
0.888907,0.9999935
0.890296,0.9994818
0.891685,0.9998837
0.893074,1.0003433
0.894463,0.9996337
0.895852,0.9992589
0.897241,0.9988439
0.898630,0.9995451
0.900019,1.0015361
0.901408,1.0002458
0.902797,0.9979483
0.904186,0.9995774
0.905574,0.9971004
0.906963,1.0021539
0.908352,0.9992038
0.909741,0.9997750
0.911130,1.0009524
0.912519,1.0009148
0.913908,1.0004826
0.915297,1.0003540
0.916686,1.0008750
0.918075,0.9988913
0.919464,0.9984022
0.920853,0.9998407
0.922241,0.9998669
0.923630,1.0001242
0.925019,0.9982519
0.926408,1.0004958
0.927797,1.0004021
0.929186,0.9993130
0.930575,0.9995916
0.931964,0.9985464
0.933353,1.0018428
0.934742,1.0007011
0.936131,1.0011505
0.937520,1.0009434
0.938908,1.0011352
0.940297,1.0002951
0.941686,0.9992491
0.943075,0.9991191
0.944464,0.9992633
0.945853,1.0022891
0.947242,1.0010098
0.948631,0.9999661
0.950020,0.9993793
0.951409,0.9984401
0.952798,1.0020748
0.954187,1.0006680
0.955576,1.0008957
0.956964,0.9973560
0.958353,1.0004697
0.959742,0.9999332
0.961131,1.0006791
0.962520,1.0014539
0.963909,1.0000144
0.965298,1.0003584
0.966687,1.0000453
0.968076,0.9993426
0.969465,1.0028306
0.970854,1.0002055
0.972243,1.0003599
0.973631,0.9995979
0.975020,1.0004146
0.976409,0.9988498
0.977798,1.0010742
0.979187,0.9996839
0.980576,0.9988330
0.981965,0.9985255
0.983354,1.0002919
0.984743,0.9987349
0.986132,0.9998861
0.987521,1.0001334
0.988910,1.0013422
0.990298,0.9981387
0.991687,0.9983559
0.993076,1.0004707
0.994465,0.9993235
0.995854,1.0015238
0.997243,0.9986411
0.998632,0.9990054
1.000021,1.0008588
1.001410,0.9992016
1.002799,1.0003403
1.004188,1.0007421
1.005577,1.0002373
1.006965,1.0007512
1.008354,1.0021380
1.009743,0.9993613
1.011132,0.9984695
1.012521,0.9991797
1.013910,0.9983868
1.015299,0.9999388
1.016688,0.9993660
1.018077,0.9983514
1.019466,0.9997271
1.020855,0.9995489
1.022244,0.9995707
1.023632,0.9992828
1.025021,0.9997980
1.026410,0.9994108
1.027799,0.9997303
1.029188,0.9988871
1.030577,0.9996560
1.031966,0.9997369
1.033355,1.0001778
1.034744,0.9989862
1.036133,0.9996711
1.037522,1.0013454
1.038911,1.0009562
1.040299,1.0008200
1.041688,1.0004902
1.044466,1.0011652
1.045855,1.0013643
1.047244,1.0001954
1.048633,0.9982863
1.050022,1.0005099
1.051411,0.9991335
1.052800,0.9988744
1.054189,0.9999694
1.055578,0.9985963
1.056966,1.0008306
