# HD 209458, TESS 2-minute cadence, TESS Sector 56
# time is days from the first measurement, flux is normalised
time,flux
0.663888,0.9997086
0.665277,1.0005715
0.666666,1.0004369
0.668055,1.0001911
0.669444,0.9999538
0.670833,0.9998207
0.672222,1.0003775
0.673611,0.9997463
0.674999,0.9995466
0.676388,0.9997064
0.677777,1.0002168
0.679166,0.9998570
0.680555,1.0000621
0.681944,0.9997993
0.683333,1.0002388
0.684722,0.9996569
0.686111,1.0001201
0.687499,0.9999775
0.688888,1.0003533
0.690277,1.0003007
0.691666,0.9999361
0.693055,1.0002660
0.694444,1.0000058
0.695833,0.9999197
0.697222,1.0001980
0.698610,0.9998699
0.699999,1.0000725
0.701388,1.0000631
0.702777,0.9995639
0.704166,1.0001588
0.705555,0.9998647
0.706944,0.9997052
0.708333,1.0001431
0.709722,1.0005494
0.711110,1.0002743
0.712499,1.0000759
0.713888,1.0000311
0.715277,0.9998690
0.716666,1.0001545
0.718055,0.9995422
0.719444,0.9998326
0.720833,0.9999833
0.722222,0.9997718
0.723610,0.9999231
0.724999,0.9996274
0.726388,1.0001232
0.727777,0.9996664
0.729166,0.9999726
0.730555,1.0001340
0.731944,1.0003226
0.733333,1.0000612
0.734722,0.9994966
0.736110,1.0000705
0.737499,1.0000437
0.738888,1.0001080
0.740277,0.9997388
0.741666,1.0004405
0.743055,1.0001923
0.744444,0.9996099
0.745833,0.9999693
0.747221,0.9993628
0.748610,0.9997161
0.749999,0.9999914
0.751388,1.0003948
0.752777,1.0001804
0.754166,1.0002664
0.755555,0.9998550
0.756944,1.0004782
0.758333,1.0002062
0.759721,0.9997548
0.761110,1.0001405
0.762499,1.0007678
0.763888,0.9996857
0.765277,0.9999670
0.766666,0.9997541
0.768055,1.0003335
0.769444,0.9997947
0.770833,1.0001169
0.772221,1.0002096
0.773610,1.0001390
0.774999,0.9995293
0.776388,1.0004834
0.777777,0.9997686
0.779166,1.0001954
0.780555,0.9995603
0.781944,0.9999395
0.783333,1.0000045
0.784721,1.0002406
0.786110,0.9998593
0.787499,1.0001532
0.788888,0.9998740
0.790277,1.0001621
0.791666,0.9999278
0.793055,0.9997392
0.794444,1.0000200
0.795832,0.9997407
0.797221,1.0002787
0.798610,0.9999806
0.799999,1.0002895
0.801388,0.9997760
0.802777,1.0000271
0.804166,1.0004612
0.805555,0.9995883
0.806944,1.0003975
